selectivity,seed,query_id,bernoulli,birch,distance_shell,gmm,hdbscan,hilbert,hybrid,kde_pilot,kdtree,km20,lsh,minibatch,minibatch_partial,pca1d,pq,random_proj,sobol,sparse_rp,spectral,zorder,best,worst,spread
0.01,0.1,23,2.1943603225366806,1.110967836064321,1.0660299358695546,1.5995036978625694,1.0332262244284727,1.2820925076581988,1.3263341056755655,1.2624455775070842,2.922100728421429,1.6867954520980029,4.085886956498289,1.3414116851823006,3.4534637929090195,1.9046792932911945,1.6837288075319388,1.0756545512021092,2.712012172678156,1.1116160475771966,1.3507225161444965,1.057841726618705,hdbscan,lsh,3.0526607320698163
0.01,0.1,24,1.252966458333333,1.0862406092415355,1.0641412820474878,1.6288647220108985,1.682773226740915,3.6246495110251375,1.0798409278334122,2.2723479251983782,1.4799483425744944,1.1322986752989994,1.8463213419108606,2.215927144802542,1.155335444654123,1.0671218227627015,1.4042061283340166,1.8315627752213057,1.5667214232777533,1.90260641025641,,1.8556698581644533,distance_shell,hilbert,2.5605082289776497
0.01,0.1,25,1.0260456888526068,1.771031093479251,1.1509744583333332,1.1186242474104524,1.0735682686291568,1.3004732534485324,1.0560081552406453,,1.242453844991727,1.135120803587232,1.8497705112689242,1.7905176492965205,1.155397226880328,1.8829595265971049,1.6358250655934146,8.261406088972862,1.834774750793495,1.039545640305289,1.401779495914835,1.2570138414747687,bernoulli,random_proj,7.235360400120255
0.01,0.1,26,1.2047612499999998,1.679730618989753,1.807141875,1.0056925233907674,1.529529673307422,,1.1520016987423418,2.1264138714761707,1.4520846206261555,2.0345497842232807,2.247480570339906,1.3119676508230727,1.4147948160934698,1.772644435803756,1.7966207711897784,2.26523678031257,1.547455371812098,1.2092694915254236,1.176555272466421,1.3725974078761656,gmm,random_proj,1.2595442569218025
0.01,0.1,27,1.7973771773539464,1.084967813349948,1.0270726727736836,1.2627793812931112,1.270037593292497,1.2898932243429708,1.4022472772396355,4.258422878624759,1.0491144906263512,1.2110472259853187,1.355707711768327,1.075782683855426,1.4944048949202458,1.2736524545406354,1.6207481021277674,1.6932442504328193,3.292963533113516,1.2747188139391805,5.961376518846492,1.0571952023746192,distance_shell,spectral,4.934303846072808
0.01,0.1,28,1.8736024999999998,1.4975143595437013,1.2490683333333332,1.1800549420747173,1.1788334045325994,3.6133286764867516,2.7874065002355155,1.846910610495735,1.0032175872100884,1.356788895077517,1.2645235349624446,1.3115276568591931,1.4250817890302658,1.3473329678738095,3.680871815286624,1.4694045826190878,4.610984709175118,1.2328466666666666,1.5402741351992948,1.8553206645171565,kdtree,sobol,3.6077671219650296
0.01,0.1,29,1.9095278125,1.5101755358695514,1.5375418749999998,1.0915617660941659,1.3395919704625932,1.2510873912401321,1.0971223643217138,1.7629478674905372,1.003011706591731,1.9100573491012964,,1.2107246201873878,3.5214752153360362,1.05479303056209,,2.0124330888463398,2.1900044154983993,1.2777822033898303,1.8297893255018083,3.72535856795187,kdtree,zorder,2.7223468613601387
0.01,0.1,30,1.0033181612815132,1.0802249431066622,1.993385625,1.327099939135882,1.3697253758047365,1.0105713992393226,1.7246477013616408,1.5176584571203244,1.3949601587803797,1.634848710100013,1.0419085348266006,3.313087131776419,1.2775563740728777,1.516975911024029,1.1564830450864614,4.224273230848506,1.343137665994493,1.0038132195847773,1.8249548398466757,4.10722962052177,bernoulli,random_proj,3.2209550695669926
0.01,0.1,31,1.5872299415056168,1.1895384108210028,1.5872299415056168,1.3259996944582362,1.9199281547035782,3.6451610539582053,1.2405403386885732,5.712965020276826,1.0158946361346435,2.4559165229525677,1.1278560449077497,1.3122223070949344,1.1399303407346302,1.3503552258027338,2.2219629919239146,1.3022049071618038,21.287599132766587,1.0586760794971428,1.366195154080825,1.9077587630095507,kdtree,sobol,20.271704496631944
0.01,0.1,32,2.2632303495417823,1.0731559838366538,1.119640411016702,1.7134778651315392,1.3126542606349472,1.2630362378335136,1.3867638563072735,3.003253700115989,1.5608890170307108,1.0708771844898277,1.6750015469867898,1.0136602653787625,1.5257098616614513,1.3295526350075948,1.0055200877741926,1.0181048849922507,1.523160866172354,1.0191147836067642,2.147357115240935,1.3067462705449837,pq,kde_pilot,1.9977336123417966
0.01,0.1,33,1.3337843749999998,1.242142484119373,1.00033828125,1.1032101410512292,1.37280230162272,2.070807700928993,1.4359653949569529,3.908729051635476,1.425232393630658,1.6450640424867229,2.1412296237350636,1.6328054195635153,1.1325406787761394,2.0724594331862707,1.7763214865596249,1.3330557109622019,1.5286530822817461,3.9493875,1.5013414380329757,1.0566078497404388,distance_shell,sparse_rp,2.94904921875
0.01,0.1,34,1.5005756114259456,3.4664102200378832,1.0627956250000001,1.2429217280116907,1.2386981928290128,1.3041403957490683,1.6426948305951734,2.024146844372546,1.2469521700984723,1.1476947830851727,1.7801914969767803,1.8738604529699445,1.8168410100831072,1.302719791646036,5.826330066987765,2.3255205855082526,2.197094415041033,1.4823114248882725,1.156007101161461,1.0188950440734441,zorder,pq,4.807435022914321
