dataset,sel,method,n_pairs,delta_pct_mean,delta_pct_ci_low,delta_pct_ci_high,delta_pct_se,ci_excludes_zero,cohens_d,d_magnitude,direction
DEEP,0.3,pq,500,1.1291883540228165,0.256177176980965,1.9114529572913592,0.41170947373261024,True,0.12224151661083849,negligible,hurt
DEEP,0.3,lsh,500,0.6543700046367139,-0.16536515314926123,1.340804928989158,0.3767045456178469,False,0.10317948047550866,negligible,hurt
DEEP,0.3,kde_pilot,500,-0.0006011928532115718,-0.8359597132140026,0.6535257285256677,0.40108937267012773,False,-0.025198947991131006,negligible,improve
DEEP,0.3,distance_shell,500,10.094249968729098,8.090349232912567,12.029384756657482,1.0042291389828435,True,0.734959840106681,medium,hurt
DEEP,0.3,is_p50_noclip,500,8.95069761362059,7.475033976646686,10.687219612271797,0.7891556366538093,True,0.6408357433268573,medium,hurt
DEEP,0.3,is_p50_clip,500,11.04038652709617,8.847457451212854,13.22175036165502,1.1231259790787185,True,0.6752448517583862,medium,hurt
DEEP,0.3,is_p200_noclip,500,14.167401115448724,11.669833619160531,16.33649696050202,1.245660321307894,True,0.7320884023115414,medium,hurt
DEEP,0.3,is_p200_clip,500,13.799387979700793,11.419010455530456,16.32015596420516,1.2935406776426617,True,0.8049768496094212,large,hurt
DEEP,0.3,spectral,500,0.42527444385109464,-0.5131748028128257,1.2105939168989808,0.416375773540895,False,0.09253446668542617,negligible,hurt
DEEP,0.3,birch,500,0.09885997493931348,-0.7465276531123296,0.6922099427947886,0.3689398317308158,False,-0.036769455861900974,negligible,improve
DEEP,0.3,gmm,500,0.28953761763492764,-0.5287894629535062,1.0013870504381674,0.3726956235686422,False,-0.017197306775754647,negligible,improve
DEEP,0.3,hdbscan,500,-0.03512749783867352,-0.8490642847714536,0.7002272534937402,0.3920955292105441,False,-0.07290467801329202,negligible,improve
DEEP,0.3,sobol,500,0.629089236424485,-0.3514601559254572,1.5090692275540756,0.46199329648112053,False,0.08029358888841467,negligible,hurt
DEEP,0.3,sparse_rp,500,0.5571027851957226,-0.4074652123855259,1.3676590020604076,0.4510147287452506,False,0.04157519844587807,negligible,hurt
DEEP,0.5,minibatch,500,-0.4288920656742663,-0.9754572962509566,0.16710798855395584,0.28003873053173256,False,-0.13718782313026737,negligible,improve
DEEP,0.5,minibatch_partial,500,-0.48871607305839687,-1.05165339032757,0.09845282382257035,0.279826905740328,False,-0.10895365100917577,negligible,improve
DEEP,0.5,random_proj,500,0.7602098540103774,0.12245898256217863,1.448014772762142,0.3350070055748031,True,0.15000413858365785,negligible,hurt
DEEP,0.5,pca1d,500,-0.8590240029594423,-1.4035172067737662,-0.2638545203067747,0.26613403253683143,True,-0.18294056407793136,negligible,improve
DEEP,0.5,hilbert,500,-0.5132860807718225,-1.0888834739923043,0.09294270596091893,0.28729331709564165,False,-0.14113993268195787,negligible,improve
DEEP,0.5,zorder,500,-0.449548185849785,-0.9552757320810823,0.11634363765484705,0.2532618604756298,False,-0.13823309201245235,negligible,improve
DEEP,0.5,hybrid,500,-0.351026810214644,-0.922263297505113,0.21434359321028723,0.2694579075100519,False,-0.09697776184869836,negligible,improve
DEEP,0.5,kdtree,500,-0.05011335054179368,-0.5942628126022907,0.5056710397048302,0.26554107631669654,False,-0.06514907403142951,negligible,improve
DEEP,0.5,pq,500,0.7506533099887323,0.17530865251203887,1.3762644695148605,0.27834739229000627,True,0.14866951181551508,negligible,hurt
DEEP,0.5,lsh,500,0.342573152864732,-0.28656390547964944,1.0034987966222175,0.3111156975153984,False,0.08948336957567571,negligible,hurt
