dataset,selectivity,query_id,mode,q_error,bern_q,method_minus_bern,rank
DEEP,0.01,12,km20,2.0788205488525473,1.3407623857623858,0.7380581630901615,14.0
DEEP,0.01,12,lsh,2.8604260641664716,1.3407623857623858,1.5196636784040858,18.0
DEEP,0.01,12,minibatch,2.1623272105635953,1.3407623857623858,0.8215648248012095,15.0
DEEP,0.01,12,minibatch_partial,1.9795295320727462,1.3407623857623858,0.6387671463103604,13.0
DEEP,0.01,12,pca1d,1.832563101184555,1.3407623857623858,0.4918007154221691,10.0
DEEP,0.01,12,pq,1.600662175378154,1.3407623857623858,0.2598997896157682,9.0
DEEP,0.01,12,random20,2.290240979629751,1.3407623857623858,0.9494785938673651,16.0
DEEP,0.01,12,random_proj,1.4143686310523857,1.3407623857623858,0.07360624528999993,7.0
DEEP,0.01,12,sobol,3.08629271497769,1.3407623857623858,1.7455303292153044,19.0
DEEP,0.01,12,sparse_rp,1.9480263157894737,1.3407623857623858,0.6072639300270879,12.0
DEEP,0.01,12,spectral,3.44111027476238,1.3407623857623858,2.1003478889999943,20.0
DEEP,0.01,12,zorder,1.853650502598273,1.3407623857623858,0.5128881168358872,11.0
DEEP,0.01,13,birch,1.4185974802563068,1.8275690579262007,-0.4089715776698939,7.0
DEEP,0.01,13,distance_shell,1.856147186147186,1.8275690579262007,0.028578128220985377,13.0
DEEP,0.01,13,gmm,1.8704180652055258,1.8275690579262007,0.04284900727932506,15.0
DEEP,0.01,13,hdbscan,1.6365798081608816,1.8275690579262007,-0.19098924976531917,12.0
DEEP,0.01,13,hilbert,1.365127692459619,1.8275690579262007,-0.46244136546658177,5.0
DEEP,0.01,13,hybrid,1.455215331255829,1.8275690579262007,-0.3723537266703718,8.0
DEEP,0.01,13,is_p50_clip,2.3865248267330443,1.8275690579262007,0.5589557688068436,17.0
DEEP,0.01,13,is_p50_noclip,9.028297822866866,1.8275690579262007,7.200728764940665,22.0
DEEP,0.01,13,kde_pilot,1.3871649273564952,1.8275690579262007,-0.4404041305697055,6.0
DEEP,0.01,13,kdtree,2.584703034604517,1.8275690579262007,0.7571339766783161,18.0
DEEP,0.01,13,km20,1.6030437318323496,1.8275690579262007,-0.22452532609385112,11.0
DEEP,0.01,13,lsh,1.3168582922530816,1.8275690579262007,-0.5107107656731191,2.0
DEEP,0.01,13,minibatch,1.335810595823061,1.8275690579262007,-0.49175846210313967,3.0
