method,dataset,sel,n,delta_pct_mean,ci_lo,ci_hi,ci0_excl,cohen_d,method_median,bern_median
gmm,DEEP_8M,0.3,500,-0.483,-1.059,0.091,False,-0.108,1.0526,1.0551
hdbscan,DEEP_8M,0.1,500,-2.131,-3.214,-1.034,True,-0.2334,1.095,1.129
hdbscan,DEEP_8M,0.3,500,-1.253,-1.817,-0.706,True,-0.2273,1.0407,1.0551
sobol,DEEP_8M,0.1,500,2.223,0.888,3.675,True,0.0718,1.1324,1.129
sobol,DEEP_8M,0.3,500,1.582,0.864,2.293,True,0.1623,1.07,1.0551
sparse_rp,DEEP_8M,0.1,500,-0.94,-2.07,0.19,False,-0.1383,1.1082,1.129
sparse_rp,DEEP_8M,0.3,500,-0.394,-0.978,0.185,False,-0.0958,1.0523,1.0551
minibatch,SIFT_1.5M,0.01,928,16.251,11.985,20.617,True,0.0563,1.3979,1.2987
minibatch,SIFT_1.5M,0.05,1000,5.078,3.068,7.109,True,0.0574,1.2031,1.2031
minibatch,SIFT_1.5M,0.1,1000,0.774,-0.64,2.241,False,-0.0546,1.1654,1.199
minibatch,SIFT_1.5M,0.3,1000,-0.128,-0.943,0.763,False,-0.0581,1.0808,1.1255
minibatch,SIFT_1.5M,0.5,1000,0.005,-0.513,0.542,False,-0.0278,1.0519,1.0753
minibatch_partial,SIFT_1.5M,0.01,459,16.372,9.983,23.514,True,0.0519,1.4441,1.2987
minibatch_partial,SIFT_1.5M,0.05,500,-1.833,-3.74,0.126,False,-0.1874,1.1624,1.2031
minibatch_partial,SIFT_1.5M,0.1,500,-8.023,-9.274,-6.748,True,-0.5463,1.0957,1.199
minibatch_partial,SIFT_1.5M,0.3,500,-6.818,-7.548,-6.071,True,-0.8052,1.0407,1.1255
minibatch_partial,SIFT_1.5M,0.5,500,-4.634,-5.132,-4.104,True,-0.7952,1.0251,1.0753
random_proj,SIFT_1.5M,0.01,918,48.868,38.903,59.871,True,0.2272,1.5584,1.2987
random_proj,SIFT_1.5M,0.05,1000,17.671,14.72,20.626,True,0.2816,1.2987,1.2031
random_proj,SIFT_1.5M,0.1,1000,11.022,8.909,13.12,True,0.2434,1.2468,1.199
random_proj,SIFT_1.5M,0.3,1000,8.54,7.174,9.937,True,0.3672,1.1412,1.1255
random_proj,SIFT_1.5M,0.5,1000,6.052,5.144,6.949,True,0.3952,1.0743,1.0753
pca1d,SIFT_1.5M,0.01,474,11.87,6.424,17.163,True,0.0043,1.3285,1.2987
pca1d,SIFT_1.5M,0.05,500,-2.607,-4.528,-0.621,True,-0.2272,1.1689,1.2031
pca1d,SIFT_1.5M,0.1,500,-7.276,-8.649,-5.799,True,-0.4892,1.0963,1.199
pca1d,SIFT_1.5M,0.3,500,-6.477,-7.21,-5.707,True,-0.7654,1.0471,1.1255
pca1d,SIFT_1.5M,0.5,500,-4.528,-5.008,-3.99,True,-0.7705,1.0264,1.0753
hilbert,SIFT_1.5M,0.01,953,12.839,9.078,16.724,True,0.0158,1.3076,1.2987
hilbert,SIFT_1.5M,0.05,1000,-2.88,-4.279,-1.371,True,-0.2333,1.1565,1.2031
hilbert,SIFT_1.5M,0.1,1000,-7.058,-8.024,-6.038,True,-0.4804,1.1,1.199
hilbert,SIFT_1.5M,0.3,1000,-6.239,-6.759,-5.719,True,-0.7466,1.0476,1.1255
hilbert,SIFT_1.5M,0.5,1000,-4.278,-4.633,-3.923,True,-0.7506,1.0286,1.0753
zorder,SIFT_1.5M,0.01,473,16.582,10.323,22.786,True,0.0403,1.3185,1.2987
zorder,SIFT_1.5M,0.05,500,-4.6,-6.522,-2.672,True,-0.3061,1.1448,1.2031
zorder,SIFT_1.5M,0.1,500,-7.649,-8.97,-6.286,True,-0.5243,1.1003,1.199
zorder,SIFT_1.5M,0.3,500,-6.855,-7.571,-6.146,True,-0.8458,1.0457,1.1255
zorder,SIFT_1.5M,0.5,500,-4.872,-5.354,-4.362,True,-0.8473,1.0235,1.0753
hybrid,SIFT_1.5M,0.01,471,7.926,3.084,12.899,True,-0.0566,1.4473,1.2987
hybrid,SIFT_1.5M,0.05,500,-4.333,-6.294,-2.327,True,-0.279,1.147,1.2031
hybrid,SIFT_1.5M,0.1,500,-8.467,-9.762,-7.116,True,-0.5687,1.0876,1.199
hybrid,SIFT_1.5M,0.3,500,-7.01,-7.723,-6.314,True,-0.8681,1.0428,1.1255
hybrid,SIFT_1.5M,0.5,500,-4.802,-5.283,-4.295,True,-0.8509,1.0248,1.0753
kdtree,SIFT_1.5M,0.01,477,11.73,6.413,16.996,True,0.0049,1.462,1.2987
kdtree,SIFT_1.5M,0.05,500,-3.162,-5.073,-1.158,True,-0.2399,1.1518,1.2031
kdtree,SIFT_1.5M,0.1,500,-7.883,-9.155,-6.605,True,-0.5406,1.0973,1.199
kdtree,SIFT_1.5M,0.3,500,-6.803,-7.51,-6.078,True,-0.8307,1.0443,1.1255
kdtree,SIFT_1.5M,0.5,500,-4.659,-5.133,-4.155,True,-0.8272,1.0262,1.0753
pq,SIFT_1.5M,0.01,390,123.707,88.743,162.803,True,0.2672,1.4373,1.2987
pq,SIFT_1.5M,0.05,500,18.436,12.784,24.805,True,0.2266,1.2859,1.2031
pq,SIFT_1.5M,0.1,500,-0.516,-2.511,1.366,False,-0.1173,1.1515,1.199
pq,SIFT_1.5M,0.3,500,-3.196,-4.073,-2.285,True,-0.347,1.0703,1.1255
pq,SIFT_1.5M,0.5,500,-2.48,-3.067,-1.892,True,-0.3929,1.0445,1.0753
lsh,SIFT_1.5M,0.01,933,34.494,27.186,42.652,True,0.1864,1.4908,1.2987
lsh,SIFT_1.5M,0.05,1000,6.573,4.561,8.666,True,0.09,1.2463,1.2031
lsh,SIFT_1.5M,0.1,1000,-0.175,-1.546,1.225,False,-0.1061,1.1667,1.199
lsh,SIFT_1.5M,0.3,1000,-2.192,-2.908,-1.457,True,-0.2443,1.0794,1.1255
lsh,SIFT_1.5M,0.5,1000,-1.242,-1.699,-0.783,True,-0.2033,1.0545,1.0753
kde_pilot,SIFT_1.5M,0.01,953,20.995,13.391,30.683,True,0.0689,1.2987,1.2987
kde_pilot,SIFT_1.5M,0.05,1000,0.662,-0.912,2.342,False,-0.0743,1.1817,1.2031
kde_pilot,SIFT_1.5M,0.1,1000,-2.331,-3.394,-1.267,True,-0.2041,1.1429,1.199
kde_pilot,SIFT_1.5M,0.3,1000,-2.768,-3.347,-2.189,True,-0.3334,1.0743,1.1255
kde_pilot,SIFT_1.5M,0.5,1000,-2.295,-2.633,-1.943,True,-0.4247,1.0427,1.0753
distance_shell,SIFT_1.5M,0.01,936,17.351,13.439,21.832,True,0.0911,1.2987,1.2987
distance_shell,SIFT_1.5M,0.05,1000,8.22,6.041,10.479,True,0.1474,1.2468,1.2031
distance_shell,SIFT_1.5M,0.1,1000,4.836,3.343,6.419,True,0.1254,1.2031,1.199
distance_shell,SIFT_1.5M,0.3,1000,4.378,3.385,5.407,True,0.2426,1.1342,1.1255
distance_shell,SIFT_1.5M,0.5,1000,2.569,1.997,3.146,True,0.245,1.0874,1.0753
spectral,SIFT_1.5M,0.01,440,32.753,22.508,44.534,True,0.1634,1.4345,1.2987
spectral,SIFT_1.5M,0.05,499,6.035,2.901,9.812,True,0.0683,1.2197,1.2031
spectral,SIFT_1.5M,0.1,500,-3.435,-5.032,-1.72,True,-0.2541,1.1277,1.199
spectral,SIFT_1.5M,0.3,500,-5.154,-5.957,-4.386,True,-0.5847,1.0534,1.1255
spectral,SIFT_1.5M,0.5,500,-3.782,-4.301,-3.238,True,-0.6347,1.0337,1.0753
birch,SIFT_1.5M,0.01,471,24.794,15.718,35.35,True,0.1185,1.4385,1.2987
birch,SIFT_1.5M,0.05,500,0.037,-2.303,2.563,False,-0.1074,1.1735,1.2031
birch,SIFT_1.5M,0.1,500,-6.459,-7.779,-5.065,True,-0.4418,1.1034,1.199
birch,SIFT_1.5M,0.3,500,-5.851,-6.595,-5.137,True,-0.7155,1.0491,1.1255
birch,SIFT_1.5M,0.5,500,-4.31,-4.796,-3.787,True,-0.7428,1.0281,1.0753
gmm,SIFT_1.5M,0.01,481,13.819,8.397,19.851,True,0.0268,1.4345,1.2987
gmm,SIFT_1.5M,0.05,500,-3.473,-5.5,-1.457,True,-0.2626,1.157,1.2031
gmm,SIFT_1.5M,0.1,500,-7.648,-8.956,-6.308,True,-0.5212,1.1073,1.199
gmm,SIFT_1.5M,0.3,500,-6.29,-7.017,-5.56,True,-0.7735,1.0523,1.1255
gmm,SIFT_1.5M,0.5,500,-4.433,-4.903,-3.933,True,-0.796,1.0271,1.0753
hdbscan,SIFT_1.5M,0.01,475,16.465,9.902,23.597,True,0.0491,1.3841,1.2987
hdbscan,SIFT_1.5M,0.05,500,-4.226,-5.989,-2.39,True,-0.2885,1.1372,1.2031
hdbscan,SIFT_1.5M,0.1,500,-8.554,-9.834,-7.176,True,-0.5575,1.0768,1.199
hdbscan,SIFT_1.5M,0.3,500,-7.065,-7.783,-6.327,True,-0.8614,1.0423,1.1255
hdbscan,SIFT_1.5M,0.5,500,-4.684,-5.166,-4.188,True,-0.8251,1.0251,1.0753
sobol,SIFT_1.5M,0.01,433,297.5,73.717,756.358,True,0.0699,1.7048,1.2987
sobol,SIFT_1.5M,0.05,500,22.727,8.252,44.738,True,0.0853,1.2563,1.2031
sobol,SIFT_1.5M,0.1,500,-0.98,-2.885,0.948,False,-0.1441,1.1551,1.199
sobol,SIFT_1.5M,0.3,500,-4.133,-4.993,-3.289,True,-0.4646,1.0648,1.1255
sobol,SIFT_1.5M,0.5,500,-3.542,-4.044,-3.01,True,-0.5885,1.0338,1.0753
sparse_rp,SIFT_1.5M,0.01,470,15.042,8.989,21.288,True,0.0298,1.3189,1.2987
sparse_rp,SIFT_1.5M,0.05,500,-3.404,-5.145,-1.449,True,-0.2554,1.1483,1.2031
sparse_rp,SIFT_1.5M,0.1,500,-7.409,-8.706,-6.001,True,-0.509,1.099,1.199
sparse_rp,SIFT_1.5M,0.3,500,-5.298,-6.069,-4.502,True,-0.6145,1.0574,1.1255
sparse_rp,SIFT_1.5M,0.5,500,-3.518,-4.03,-2.996,True,-0.6165,1.0375,1.0753
minibatch,SIFT_1M,0.01,478,11.478,6.396,16.838,True,-0.0358,1.4382,1.3112
minibatch,SIFT_1M,0.05,500,-2.131,-3.91,-0.277,True,-0.2088,1.1464,1.1992
minibatch,SIFT_1M,0.1,500,-4.65,-5.818,-3.477,True,-0.4051,1.0906,1.1435
