method,dataset,sel,n_pairs,deff,ess,var_method,var_bern,icc
hilbert,DEEP,0.3,4500,0.35448859418357087,1086.0716150450496,0.0020702110557807725,0.005839993415158288,0.03117749002005736
hilbert,DEEP,0.5,4500,0.36416597568963827,1057.2102439578748,0.0008571126388955864,0.0023536318495225475,0.04572655108234284
hilbert,SIFT,0.01,4235,0.7643384278260327,503.7035768239929,0.5349449668501841,0.699879722614104,0.041738791391977774
hilbert,SIFT,0.05,4500,0.21996776670889473,1750.2564387513598,0.03029647307912235,0.1377314209823146,0.022435859190688575
hilbert,SIFT,0.1,4500,0.13544973339131564,2842.3828556954863,0.008711253453784762,0.0643135518666387,0.0
hilbert,SIFT,0.3,4500,0.07273764594796449,5292.995050670511,0.0015668623370548905,0.02154128466263264,0.03111371984581864
hilbert,SIFT,0.5,4500,0.04881716490840246,7886.57024066003,0.00047713668067380407,0.009773953107868393,0.029399086031718282
lsh,DEEP,0.01,4213,3.5783253704113163,107.59222824830643,2.16280062049502,0.6044169818594259,0.028956732711714964
lsh,DEEP,0.05,4500,0.8523893355634528,451.6715354556899,0.06201957268980856,0.07275967694834183,0.0
lsh,DEEP,0.1,4500,0.8702147047207837,442.4195522224952,0.021624409730236212,0.02484951083097889,0.0
lsh,DEEP,0.3,4500,0.6139279182413245,627.109451387847,0.0035853349999111707,0.005839993415158288,0.05614972500485793
lsh,DEEP,0.5,4500,0.6313035379891839,609.8492671628211,0.001485856113727611,0.0023536318495225475,0.047295928128939735
lsh,SIFT,0.01,4135,6.321164966178928,60.90649461925498,4.394543392156479,0.695210996021977,0.05766797913548651
lsh,SIFT,0.05,4500,0.5970956988641375,644.7877630543818,0.08223883906698587,0.1377314209823146,0.0
lsh,SIFT,0.1,4500,0.4647274843852148,828.4425021888134,0.029888275170861036,0.0643135518666387,0.03865370341780621
lsh,SIFT,0.3,4500,0.23361221560031378,1648.030258223718,0.005032307236914669,0.02154128466263264,0.0
