dataset,sf,method,selectivity,median_qe,mean_qe,n_valid,paired_pct_vs_bern,ci_lo,ci_hi,ci_excludes_0,cohens_d
SIFT,1,minibatch_partial,0.01,1.4283745095960132,1.7611044348255926,486,0.5732984213591601,-6.013205955665624,7.56668042531621,False,0.008035083318295912
SIFT,1,minibatch_partial,0.05,1.15619907456188,1.2084758323797968,500,-30.900481217986474,-33.24098333366602,-28.42379344433271,True,-1.11259139485592
SIFT,1,minibatch_partial,0.1,1.1060195838116171,1.124821478567005,500,-31.58482987576079,-33.34686727312575,-29.899140344764934,True,-1.587897173018534
SIFT,1,minibatch_partial,0.3,1.041472452480452,1.0501974980603503,500,-26.964099499621923,-28.062187736419403,-25.750303258885086,True,-2.092351127690594
SIFT,1,minibatch_partial,0.5,1.0263250082202813,1.0322222516233743,500,-19.10171970404868,-20.19874819154904,-17.962279047133876,True,-1.5339962712622983
SIFT,1,hdbscan,0.01,1.4229592030721265,1.6523746168606255,481,-7.26391601848708,-12.728185077791148,-0.9668013982744823,True,-0.12086750427177329
SIFT,1,hdbscan,0.05,1.1411902114366992,1.2046805905789437,500,-31.26448816552519,-33.80737542386268,-28.58661085493874,True,-1.08903718633063
SIFT,1,hdbscan,0.1,1.0806336205268163,1.1078506365297818,500,-32.628880561507934,-34.435129148973154,-30.955259434513444,True,-1.6821247694911816
SIFT,1,hdbscan,0.3,1.036545988158371,1.046919851989891,500,-27.204020068959956,-28.280710110670928,-26.04631499566142,True,-2.1161935954650466
SIFT,1,hdbscan,0.5,1.0267639291409125,1.0314679029067546,500,-19.157721681377915,-20.245944127758335,-18.014952543517765,True,-1.5376894934413399
SSN,1,halton,0.01,2.1918735237432796,75.36892120718898,487,5227.596844652952,1357.5534122762906,10182.67305985659,True,0.10425727138571957
SSN,1,halton,0.05,1.3464369551383697,1.5650276687502473,500,31.05771726650947,25.633062615296016,37.0634626414821,True,0.47335959708719627
SSN,1,halton,0.1,1.2320598848719346,1.3130525946972662,500,17.125114743116647,14.663349039973209,19.57678978168646,True,0.5906536912455707
SSN,1,halton,0.3,1.107975892475964,1.1315440405283061,500,6.580203007379684,5.599329671623525,7.54007934691169,True,0.5557206196579325
SSN,1,halton,0.5,1.063259656312053,1.0826264351053847,500,4.241529569911299,3.6181764326816515,4.904341404407856,True,0.5558471329225022
SSN,1,hammersley,0.01,1.8607760879385937,133.43953229463114,494,8856.855882903188,3570.7711525440964,15320.909497603594,True,0.1321157843527445
SSN,1,hammersley,0.05,1.3583465854881887,1.5378148341577453,500,28.650490984529164,23.823898986751843,34.05238403716217,True,0.4775362470726676
SSN,1,hammersley,0.1,1.2465935156766224,1.3313740000503198,500,18.824974255730222,16.22448077115643,21.639709628625887,True,0.614186342991249
SSN,1,hammersley,0.3,1.1045898766071547,1.1321449508407995,500,6.652969610471681,5.578454711578214,7.663606151056726,True,0.556376158451135
