cell,method,selectivity,n_paired,mean_delta_pct,wilcoxon_stat,wilcoxon_p,significant_05
WIKI_sf1,Hilbert,0.5,500,-6.902088893277448,6972.0,1.9585504459428024e-66,True
WIKI_sf1,sparse_rp,0.01,500,15.345730838049857,,,False
WIKI_sf1,sparse_rp,0.05,500,-6.364145943484493,39186.0,4.1238717565176143e-13,True
WIKI_sf1,sparse_rp,0.1,500,-8.408131268531207,27860.0,5.588523605519442e-27,True
WIKI_sf1,sparse_rp,0.3,500,-7.803512236872838,15752.0,1.1884628962593115e-47,True
WIKI_sf1,sparse_rp,0.5,500,-6.397112510566514,11328.0,1.0225533465182332e-56,True
WIKI_sf1,Adaptive,0.01,500,9.182658268378528,,,False
WIKI_sf1,Adaptive,0.05,500,-7.128659808633971,34308.0,2.685023773243313e-16,True
WIKI_sf1,Adaptive,0.1,500,-8.155224087771769,28681.0,6.663604673807956e-24,True
WIKI_sf1,Adaptive,0.3,500,-8.154491296755815,13939.0,3.3077897013634508e-50,True
WIKI_sf1,Adaptive,0.5,500,-6.4418289259725325,11504.0,3.9163835664308895e-56,True
WIKI_sf10,HDBSCAN,0.01,500,17.31510049096748,,,False
WIKI_sf10,HDBSCAN,0.05,500,-3.4285432658389725,43426.0,2.855723493325464e-09,True
WIKI_sf10,HDBSCAN,0.1,500,-3.3981144980487916,42690.0,6.942921421791231e-10,True
WIKI_sf10,HDBSCAN,0.3,500,-1.496958570268701,46070.0,3.027977909638498e-07,True
WIKI_sf10,HDBSCAN,0.5,500,-0.7951978346635018,51313.0,0.00046587644083733213,True
WIKI_sf10,MB_partial,0.01,500,1696.6632297275999,,,False
WIKI_sf10,MB_partial,0.05,500,0.9328681221053312,55603.0,0.029823338236037052,True
WIKI_sf10,MB_partial,0.1,500,-1.5600192812184912,50498.0,0.00017557908902411125,True
WIKI_sf10,MB_partial,0.3,500,-0.9226337304323838,51369.0,0.0004970874338379793,True
WIKI_sf10,MB_partial,0.5,500,-0.3173272237057438,56022.0,0.04107216366310697,True
WIKI_sf10,Hilbert,0.01,500,11.480380270322291,,,False
WIKI_sf10,Hilbert,0.05,500,-2.0904060026715405,50039.0,9.869038892299443e-05,True
WIKI_sf10,Hilbert,0.1,500,-3.5771457902454644,41802.0,1.1782521509229708e-10,True
WIKI_sf10,Hilbert,0.3,500,-1.8256852056316193,43383.0,2.632923697738674e-09,True
WIKI_sf10,Hilbert,0.5,500,-1.0537425200067638,45492.0,1.1547598287473876e-07,True
WIKI_sf10,sparse_rp,0.01,500,13.851299840544614,,,False
WIKI_sf10,sparse_rp,0.05,500,-1.2444970883102084,49621.0,5.743517310834197e-05,True
WIKI_sf10,sparse_rp,0.1,500,-2.4625287762375083,46102.0,3.191082158989585e-07,True
WIKI_sf10,sparse_rp,0.3,500,-0.993579199384436,51201.0,0.0004088630142630081,True
WIKI_sf10,sparse_rp,0.5,500,-0.3976121668258421,55622.0,0.03026913500876676,True
WIKI_sf10,Adaptive,0.01,500,13.786461091907702,,,False
WIKI_sf10,Adaptive,0.05,500,-0.08660298935806329,51227.5,0.0126514391571865,True
WIKI_sf10,Adaptive,0.1,500,-1.4911614309600723,50335.0,0.0006702838044809193,True
WIKI_sf10,Adaptive,0.3,500,-1.1481980048483256,47608.5,2.7254493244931373e-05,True
WIKI_sf10,Adaptive,0.5,500,-0.8221169412336218,47335.0,1.8547752771475542e-05,True
YFCC_sf1,HDBSCAN,0.01,500,9.312923261142615,,,False
YFCC_sf1,HDBSCAN,0.05,500,-5.7081343557638595,38394.0,6.556590835461101e-14,True
YFCC_sf1,HDBSCAN,0.1,500,-5.943450527070689,32128.0,3.909997368344138e-21,True
YFCC_sf1,HDBSCAN,0.3,500,-6.672536484457766,15191.0,9.33849085373317e-49,True
YFCC_sf1,HDBSCAN,0.5,500,-5.003945063928427,14411.0,2.5862847203402086e-50,True
YFCC_sf1,MB_partial,0.01,500,8.834100243970862,,,False
YFCC_sf1,MB_partial,0.05,500,-4.531896087307377,42463.0,4.443021850949603e-10,True
YFCC_sf1,MB_partial,0.1,500,-5.87269755481148,32255.0,5.683431508048544e-21,True
YFCC_sf1,MB_partial,0.3,500,-6.273631224841369,18581.0,2.80169056330219e-42,True
YFCC_sf1,MB_partial,0.5,500,-5.027976506694713,14430.0,2.8243405644754326e-50,True
YFCC_sf1,Hilbert,0.01,500,3.8419808982654278,,,False
YFCC_sf1,Hilbert,0.05,500,-5.046828651771333,41021.0,2.3293609608327415e-11,True
YFCC_sf1,Hilbert,0.1,500,-5.522218837362802,34247.0,1.6429987170914094e-18,True
YFCC_sf1,Hilbert,0.3,500,-5.85134654890186,20307.0,3.652866891964202e-39,True
YFCC_sf1,Hilbert,0.5,500,-4.964572918617552,15701.0,9.442688193549812e-48,True
YFCC_sf1,sparse_rp,0.01,500,11.76917183869314,,,False
YFCC_sf1,sparse_rp,0.05,500,-2.733610700957187,47890.0,5.148706971072753e-06,True
YFCC_sf1,sparse_rp,0.1,500,-3.4061897700894628,42819.0,8.928506815626662e-10,True
YFCC_sf1,sparse_rp,0.3,500,-5.490765279441184,21491.0,4.25007947604122e-37,True
YFCC_sf1,sparse_rp,0.5,500,-4.36410259969876,19500.0,1.322605178581539e-40,True
