dataset,mode,selectivity,seed,query_id,true_card,est,q_error,sample_size_used_t1,sample_size_used_t2,table,D1_target,D2_target
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,686759,8356,7558.848993448726,1.1054593109668107,383,383,partsupp_deep_sift_1,1.318339467048645,464.8583679199219
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,154430,7974,8944.09260408074,1.1216569606321471,383,383,partsupp_deep_sift_1,1.1307940483093262,483.2142333984375
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,630926,8180,7062.560928222293,1.1582200965250966,383,383,partsupp_deep_sift_1,1.212276577949524,478.9911193847656
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,255248,7873,9145.880059172807,1.1616766237994165,383,383,partsupp_deep_sift_1,1.205937147140503,567.5432739257812
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,48107,7861,9598.538404379333,1.2210327444828053,383,383,partsupp_deep_sift_1,1.1547037363052368,492.43731689453125
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,717611,7821,8475.073113866752,1.083630368733762,383,383,partsupp_deep_sift_1,1.2746468782424927,497.1119689941406
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,559097,8063,8458.711968859288,1.0490775107105654,383,383,partsupp_deep_sift_1,1.20211923122406,543.9766845703125
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,527854,8152,8475.073113866752,1.0396311474321336,383,383,partsupp_deep_sift_1,1.1929857730865479,595.359375
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,692258,8420,8071.4982036826195,1.0431768412162163,383,383,partsupp_deep_sift_1,1.1409856081008911,558.8451538085938
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,344709,7652,9947.57616453858,1.2999968850677703,383,383,partsupp_deep_sift_1,1.2134636640548706,493.5136413574219
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,414737,8093,6479.01342295605,1.249109929503367,383,383,partsupp_deep_sift_1,1.3203957080841064,557.2598266601562
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,362610,8354,7035.292353209853,1.187441769379845,383,383,partsupp_deep_sift_1,1.234999418258667,557.9852294921875
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,129857,8014,5410.085282468352,1.481307517641129,383,383,partsupp_deep_sift_1,1.2571227550506592,496.1811218261719
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,210898,8027,7787.905023553232,1.0307008079481792,383,383,partsupp_deep_sift_1,1.0668245553970337,495.0474853515625
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,793779,7810,5693.678462597741,1.3716967073754789,383,383,partsupp_deep_sift_1,1.2476485967636108,537.7359008789062
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,634727,8251,6806.236323105345,1.2122705719150642,383,383,partsupp_deep_sift_1,1.2082971334457397,569.2230834960938
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,351141,8250,7869.710748590555,1.0483231548856549,383,383,partsupp_deep_sift_1,1.1841808557510376,577.1056518554688
partsupp_deep_sift_1,adaptive_sampling,0.01,0.1,611020,7901,6282.679682866471,1.2575844064670143,383,383,partsupp_deep_sift_1,1.276122808456421,602.3656616210938
partsupp_deep_sift_1,adaptive_sampling,0.01,0.2,145860,7929,8074.211502782931,1.0183139743704037,385,385,partsupp_deep_sift_1,1.3125383853912354,493.20147705078125
partsupp_deep_sift_1,adaptive_sampling,0.01,0.2,359095,8281,9585.427559453534,1.1575205361011391,385,385,partsupp_deep_sift_1,1.258963704109192,587.4684448242188
partsupp_deep_sift_1,adaptive_sampling,0.01,0.2,286093,8145,6217.574633159049,1.309996337890625,385,385,partsupp_deep_sift_1,1.1250864267349243,602.8929443359375
