cell,method,selectivity,n_paired,mean_delta_pct_h2h,median_delta_pct_h2h,wilcoxon_p,significant_05
WIKI_sf10,Hilbert,0.3,500,-0.4424637683807364,-0.4407031729432759,0.05588449299542727,False
WIKI_sf10,Hilbert,0.5,500,-0.14126778235446377,-0.10733117133670456,0.4160197447283164,False
WIKI_sf10,sparse_rp,0.01,472,12.887100651254563,0.648540713228828,0.7896331782616255,False
WIKI_sf10,sparse_rp,0.05,500,0.9696522787520617,-1.117738722381131,0.1795742054344296,False
WIKI_sf10,sparse_rp,0.1,500,-0.01039581736565782,-0.5328196024394385,0.09201668299982824,False
WIKI_sf10,sparse_rp,0.3,500,0.41237854799420226,0.30966225399371283,0.6662733303380209,False
WIKI_sf10,sparse_rp,0.5,500,0.5167374379030221,0.416143111487126,0.032134882467391386,True
YFCC_sf1,HDBSCAN,0.01,479,12.293321934953997,-1.3476728566210592,0.33935180210023774,False
YFCC_sf1,HDBSCAN,0.05,500,0.2715925858306443,-0.8699143939402203,0.09201668299982824,False
YFCC_sf1,HDBSCAN,0.1,500,-0.4409309298472521,-1.1007485130234427,0.0186174489986819,True
YFCC_sf1,HDBSCAN,0.3,500,-1.2668711856926815,-1.1147950177573542,7.734482818693109e-07,True
YFCC_sf1,HDBSCAN,0.5,500,-0.7869270258605413,-0.8243168001219271,1.4035146142897755e-05,True
YFCC_sf1,MB_partial,0.01,482,12.577923242844053,-2.4568141883195356,0.33601193535005414,False
YFCC_sf1,MB_partial,0.05,500,1.4593310411608427,-0.6717426962116706,0.6764250576259313,False
YFCC_sf1,MB_partial,0.1,500,-0.2532263565804456,-1.4671802764703465,0.02452240444478995,True
YFCC_sf1,MB_partial,0.3,500,-0.8793775305277687,-0.4938099774574032,0.0005339109769395506,True
YFCC_sf1,MB_partial,0.5,500,-0.8175226499695679,-0.49727921578741796,2.032172227411263e-05,True
YFCC_sf1,Hilbert,0.01,479,9.283420081429925,-0.034935159502130934,0.28154408349366533,False
YFCC_sf1,Hilbert,0.05,500,0.6013001507778856,-0.6652005902307323,0.19928356032737282,False
YFCC_sf1,Hilbert,0.1,500,0.05579395371557882,-0.14009734144616845,0.30319837112351034,False
YFCC_sf1,Hilbert,0.3,500,-0.4201630348026912,-0.03121871899741859,0.1715856416022178,False
YFCC_sf1,Hilbert,0.5,500,-0.7554313748856553,-0.7042833153148033,1.903949037310332e-05,True
YFCC_sf1,sparse_rp,0.01,485,19.161581961884192,0.6742625618546179,0.18423291839797296,False
YFCC_sf1,sparse_rp,0.05,500,3.3016639531911514,-0.04703879251368397,0.4961092991028092,False
YFCC_sf1,sparse_rp,0.1,500,2.2253750957763767,0.9900599971107553,0.03685644262786819,True
YFCC_sf1,sparse_rp,0.3,500,0.0026229894947700245,-0.007609324959238022,0.7213096934504428,False
YFCC_sf1,sparse_rp,0.5,500,-0.11809997963142356,-0.3314843129686976,0.2655197849312604,False
YFCC_sf10,HDBSCAN,0.01,477,16.407907654405857,1.9789005654730047,0.48392088186379645,False
YFCC_sf10,HDBSCAN,0.05,500,-0.39194976928370684,-2.2449389021149972,0.0212275291275017,True
YFCC_sf10,HDBSCAN,0.1,500,-0.2921563866208212,-0.2681171330489257,0.0646175700758833,False
YFCC_sf10,HDBSCAN,0.3,500,-0.8635003659074678,-0.7445697014533028,0.0006007530720434804,True
YFCC_sf10,HDBSCAN,0.5,500,-0.8104197543236126,-0.5403633954356899,3.057534952514312e-06,True
YFCC_sf10,MB_partial,0.01,479,15.005961368261165,-0.7565238057071566,0.8096781815517591,False
YFCC_sf10,MB_partial,0.05,500,0.5145639084306272,-1.0426704728330243,0.14010297214548773,False
YFCC_sf10,MB_partial,0.1,500,-0.06013702907444177,-0.2600718826023184,0.2227510372823217,False
YFCC_sf10,MB_partial,0.3,500,-0.9365348710945453,-0.7527306943045773,3.9347228125921766e-05,True
YFCC_sf10,MB_partial,0.5,500,-0.5955661727884601,-0.3637425698209519,0.0004088630142630081,True
YFCC_sf10,Hilbert,0.01,480,13.020333363345637,0.20484188719279225,0.7952539007599391,False
