trial,query,q_idx,threshold,true_card,wall_ms
1,q19,17,1.2,8750,38.312435150146484
1,q20,17,1.08,1780,37.86063194274902
1,q42,17,1.2,8750,38.2535457611084
1,q72,17,1.08,1780,38.01155090332031
1,q98,17,1.3,26453,39.46518898010254
1,q07,18,1.08,4640,38.13815116882324
1,q12,18,1.08,4640,38.19751739501953
1,q19,18,1.2,13812,38.61832618713379
1,q20,18,1.08,4640,38.03515434265137
1,q42,18,1.2,13812,38.70797157287598
1,q72,18,1.08,4640,38.36655616760254
1,q98,18,1.3,34628,40.194034576416016
1,q07,19,1.08,224,37.962913513183594
1,q12,19,1.08,224,38.056373596191406
1,q19,19,1.2,3397,38.136959075927734
1,q20,19,1.08,224,38.039445877075195
1,q42,19,1.2,3397,38.20657730102539
1,q72,19,1.08,224,37.93740272521973
1,q98,19,1.3,21063,39.119720458984375
