cell,anchor,variant,n_pairs,pairing_valid,anchor_n_timeout,variant_n_timeout,median_diff_ms,anchor_med_ms,variant_med_ms,w_stat,p_value,p_holm,holm_rank,ci_lo_ms,ci_hi_ms,hedges_g,rank_biserial
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:skilling_hilbert,15,True,0,0,223.1268099276349,7574.699965072796,6922.255606972612,56.0,0.846923828125,1.0,310,-545.6056158904297,1100.1637378701691,0.13941687565165276,0.06666666666666667
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:sparse_rp,15,True,0,0,-9.720909059979022,7574.699965072796,7226.050600991584,47.0,0.48870849609375,1.0,176,-1019.2760358244414,385.9550474188287,-0.21770733212762775,-0.21666666666666667
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,CaseB:zorder_morton,15,True,0,0,629.3088460806757,7574.699965072796,6505.427515949123,45.0,0.42120361328125,1.0,145,-526.6522390663158,1289.8148592664309,0.2074496919748272,0.25
tpc_h/q10 SIFT sf10 sel0.1 qid0,B1,oracle,15,True,0,0,-518.8919008942321,7574.699965072796,7605.985406087711,43.0,0.359130859375,1.0,118,-1132.5663323077606,402.9562906614345,-0.23377807864884548,-0.2833333333333333
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,B1,15,True,0,0,108.07552409823984,7658.070213976316,7574.699965072796,44.0,0.389404296875,1.0,342,-210.47889270470475,958.7074562032162,0.28011630606386445,0.26666666666666666
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:chao_weighted,15,True,0,0,-129.62996598798782,7658.070213976316,7649.986687931232,58.0,0.93408203125,1.0,394,-586.7848055338254,687.6594648339475,0.03379496902596637,-0.03333333333333333
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:cum_sqrtf,15,True,0,0,177.71845299284905,7658.070213976316,7247.261984972283,37.0,0.207763671875,1.0,328,-55.74077644948071,874.3809134165831,0.39335029613209044,0.38333333333333336
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:hilbert_real,15,True,0,0,794.5918509503826,7658.070213976316,6993.455095100217,25.0,0.04791259765625,1.0,304,101.02356081304606,1466.7514652508542,0.5655112912696392,0.5833333333333334
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:hyperloglog,15,True,0,0,451.6782951541245,7658.070213976316,7143.230380024761,46.0,0.45428466796875,1.0,348,-406.3185024969668,1210.2724679047237,0.21348348882002033,0.23333333333333334
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:ica_fastica,15,True,0,0,56.03411502670497,7658.070213976316,7211.240755044855,49.0,0.5614013671875,1.0,361,-441.8244594100785,839.2367989342877,0.1600325546309828,0.18333333333333332
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:lavallee_hidiroglou,15,True,0,0,433.6261668941006,7658.070213976316,7107.1604220196605,26.0,0.05535888671875,1.0,305,147.28277332304668,1287.996238638685,0.577500495016683,0.5666666666666667
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:mhist2,15,True,0,0,500.1245449529961,7658.070213976316,7112.978961085901,27.0,0.063720703125,1.0,306,101.79360710297867,1251.8697074917145,0.5222924111319751,0.55
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:pca1d,15,True,0,0,940.3156090993434,7658.070213976316,6914.659639936872,21.0,0.02557373046875,1.0,298,270.0936955721894,1507.2761371921902,0.6557051797039113,0.65
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:rabitq_strat,15,True,0,0,182.17623396776617,7658.070213976316,7359.896430047229,47.0,0.48870849609375,1.0,352,-285.9849583099519,831.9389057539711,0.2161930129184425,0.21666666666666667
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:rsvd,15,True,0,0,-449.97207808773965,7658.070213976316,7827.344925026409,54.0,0.76153564453125,1.0,378,-1374.6192213852191,796.3854721900614,-0.11059615793557352,-0.1
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:skilling_hilbert,15,True,0,0,326.79563597775996,7658.070213976316,6922.255606972612,38.0,0.22930908203125,1.0,331,-177.0627933664946,1403.5278542343683,0.3607690020239638,0.36666666666666664
tpc_h/q10 SIFT sf10 sel0.1 qid0,baseline,CaseB:sparse_rp,15,True,0,0,17.977382987737656,7658.070213976316,7226.050600991584,55.0,0.803955078125,1.0,382,-549.4259916424442,570.3002406088248,0.020777529633993156,0.08333333333333333
