cell,condition,raw_label,exec_ms_trimmed,exec_ms_median,plan_short,recovers_oracle,q_error,injected_card,true_card,injection_fired
tpc_h/q12 DEEP sf10 sel0.001 qid2,pca1d,CaseB:pca1d,850.5522189124559,855.459337006323,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.108209600488195,7300.063089542038,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,pca2d_zorder_morton,CaseB:zorder_morton,847.5368400910296,736.1517220269889,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.108209600488195,7300.063089542038,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,md5_prefix_hash_bucket,CaseB:hyperloglog,863.5184404511864,920.4371829982847,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.2116459482226187,9802.215721120985,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,cum_sqrtf,CaseB:cum_sqrtf,850.9455760761809,783.0540159484372,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.0895032196725765,7425.402563226249,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,takeall_cumsqrtf,CaseB:lavallee_hidiroglou,851.271254171689,773.4565089922398,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.052481612785757,8514.576247436775,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,rsvd,CaseB:rsvd,843.4077475416975,751.8878739792854,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.3210507532864073,6123.9130895420385,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,sparse_rp,CaseB:sparse_rp,847.890279837884,845.9038019645959,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.1162567197962838,7247.4367737525645,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,pca2d_equi_depth_grid,CaseB:mhist2,822.725187216957,739.050820004195,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.2089028412087428,6692.0183526999335,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid2,rabitq_1bit_bucket,CaseB:rabitq_strat,858.7297853709271,910.1255480200052,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.405598195961868,11371.289405331512,8090.0,True
tpc_h/q3 DEEP sf10 sel0.001 qid0,baseline,baseline,7242.238642620998,7248.714011977427,Gather > Sort > HJ > HJ > Seq > Hash > HJ > Seq > Hash > Seq > Hash >…,False,,,7603.0,False
tpc_h/q3 DEEP sf10 sel0.001 qid0,B1,B1,1018.0815099290787,1070.1002069981769,Sort > Gather > NL > NL > NL > Seq > IS > IS > IS,False,,0.0,7603.0,True
tpc_h/q3 DEEP sf10 sel0.001 qid0,oracle,oracle,999.9758604054267,1105.3400930250064,Gather > Sort > NL > NL > NL > Seq > IS > IS > IS,True,1.0,7603.0,7603.0,True
tpc_h/q3 DEEP sf10 sel0.001 qid0,pca2d_hilbert_xy2d,CaseB:hilbert_real,1063.7511188307633,1141.147427028045,Gather > Sort > HJ > Seq > Hash > NL > NL > Seq > IS > IS,False,1.1240614854247284,8546.23947368421,7603.0,True
tpc_h/q3 DEEP sf10 sel0.001 qid0,pca4_skilling_hilbert_approx,CaseB:skilling_hilbert,979.6966890034338,1100.5508080124855,Gather > Sort > NL > NL > NL > Seq > IS > IS > IS,True,2.4906379310344824,3052.631578947369,7603.0,True
tpc_h/q3 DEEP sf10 sel0.001 qid0,chao_weighted,CaseB:chao_weighted,927.0522288458708,808.3857439924031,Gather > Sort > NL > NL > NL > Seq > IS > IS > IS,True,1.0621838235294114,7157.894736842107,7603.0,True
tpc_h/q3 DEEP sf10 sel0.001 qid0,ica_fastica,CaseB:ica_fastica,932.4707963163606,829.8202540026978,Gather > Sort > NL > NL > NL > Seq > IS > IS > IS,True,7.222849999999999,1052.6315789473686,7603.0,True
tpc_h/q3 DEEP sf10 sel0.001 qid0,pca1d,CaseB:pca1d,950.1444397476287,1032.2679879609495,Gather > Sort > NL > NL > NL > Seq > IS > IS > IS,True,2.4076166666666667,3157.8947368421054,7603.0,True
tpc_h/q3 DEEP sf10 sel0.001 qid0,pca2d_zorder_morton,CaseB:zorder_morton,1020.8119997718873,1097.7062080055475,Gather > Sort > NL > NL > NL > Seq > IS > IS > IS,True,1.80549584049914,4211.031578947369,7603.0,True
tpc_h/q3 DEEP sf10 sel0.001 qid0,md5_prefix_hash_bucket,CaseB:hyperloglog,1021.7454423859285,1103.8051929790527,Gather > Sort > NL > NL > NL > Seq > IS > IS > IS,True,2.3595651064264205,3222.203947368421,7603.0,True
tpc_h/q3 DEEP sf10 sel0.001 qid0,cum_sqrtf,CaseB:cum_sqrtf,990.0084272958338,1096.8163689831272,Gather > Sort > NL > NL > NL > Seq > IS > IS > IS,True,1.221121289211669,6226.244736842105,7603.0,True
tpc_h/q3 DEEP sf10 sel0.001 qid0,takeall_cumsqrtf,CaseB:lavallee_hidiroglou,984.6657003956632,1096.686972072348,Gather > Sort > NL > NL > NL > Seq > IS > IS > IS,True,1.4999683303446176,5068.773684210527,7603.0,True
