cell,method,method_raw,B1_plan,CaseB_plan,plan_same,B1_ms,CaseB_ms,delta_pct,B1_recovers_oracle,CaseB_recovers_oracle,true_card,CaseB_injected_card,q_error,injection_fired,p_holm,hedges_g,cliffs_delta
tpc_h/q10 DEEP sf10 sel0.001 qid2,sparse_rp,sparse_rp,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1067.4,0.68,True,True,8090.0,7247.4,1.116,True,1.0,-0.3325484993162697,-0.2
tpc_h/q10 DEEP sf10 sel0.001 qid2,takeall_cumsqrtf,lavallee_hidiroglou,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1060.2,1060.6,0.04,True,True,8090.0,8514.6,1.052,True,1.0,0.0729517982162167,-0.0666666666666666
tpc_h/q12 DEEP sf10 sel0.001 qid0,chao_weighted,chao_weighted,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,981.2,3.0,False,True,7603.0,7157.9,1.062,True,1.0,-0.3738440716241745,-0.8666666666666667
tpc_h/q12 DEEP sf10 sel0.001 qid0,cum_sqrtf,cum_sqrtf,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,984.8,3.38,False,True,7603.0,6226.2,1.221,True,1.0,-0.2461812488782405,-0.6
tpc_h/q12 DEEP sf10 sel0.001 qid0,ica_fastica,ica_fastica,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,985.7,3.47,False,True,7603.0,1052.6,7.223,True,1.0,-0.4862009357776367,-0.8666666666666667
tpc_h/q12 DEEP sf10 sel0.001 qid0,md5_prefix_hash_bucket,hyperloglog,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,985.4,3.44,False,True,7603.0,3222.2,2.36,True,0.52032470703125,-0.8425566710761652,-0.8666666666666667
tpc_h/q12 DEEP sf10 sel0.001 qid0,pca1d,pca1d,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,990.5,3.97,False,True,7603.0,3157.9,2.408,True,0.01025390625,-1.5752266442959892,-1.0
tpc_h/q12 DEEP sf10 sel0.001 qid0,pca2d_equi_depth_grid,mhist2,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,966.0,1.4,False,True,7603.0,3456.8,2.199,True,1.0,-0.2488496843231575,-0.6
tpc_h/q12 DEEP sf10 sel0.001 qid0,pca2d_hilbert_xy2d,hilbert_real,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,984.3,3.32,False,True,7603.0,8546.2,1.124,True,1.0,-0.156140176877473,-0.8666666666666667
tpc_h/q12 DEEP sf10 sel0.001 qid0,pca2d_zorder_morton,zorder_morton,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,988.8,3.8,False,True,7603.0,4211.0,1.805,True,0.01025390625,-1.3989652317357195,-1.0
tpc_h/q12 DEEP sf10 sel0.001 qid0,pca4_skilling_hilbert_approx,skilling_hilbert,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,978.5,2.71,False,True,7603.0,3052.6,2.491,True,1.0,-0.2015127202128086,-0.8666666666666667
tpc_h/q12 DEEP sf10 sel0.001 qid0,rabitq_1bit_bucket,rabitq_strat,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,986.6,3.56,False,True,7603.0,1329.8,5.718,True,0.01025390625,-1.4961824420221133,-1.0
tpc_h/q12 DEEP sf10 sel0.001 qid0,rsvd,rsvd,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,985.1,3.4,False,True,7603.0,3367.2,2.258,True,1.0,-0.3474521093310836,-0.8666666666666667
tpc_h/q12 DEEP sf10 sel0.001 qid0,sparse_rp,sparse_rp,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,985.6,3.45,False,True,7603.0,5105.3,1.489,True,0.01025390625,-1.1756025851381489,-1.0
tpc_h/q12 DEEP sf10 sel0.001 qid0,takeall_cumsqrtf,lavallee_hidiroglou,Sort > NL > NL > Gather > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,diff,952.6,976.9,2.54,False,True,7603.0,5068.8,1.5,True,1.0,-0.171083807860727,-0.6
tpc_h/q12 DEEP sf10 sel0.001 qid1,chao_weighted,chao_weighted,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,889.6,-1.08,True,True,8013.0,4183.2,1.916,True,1.0,0.0812614502059636,0.0666666666666666
tpc_h/q12 DEEP sf10 sel0.001 qid1,cum_sqrtf,cum_sqrtf,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,851.6,-5.3,True,True,8013.0,5328.2,1.504,True,1.0,0.3132633546646493,0.4666666666666667
tpc_h/q12 DEEP sf10 sel0.001 qid1,ica_fastica,ica_fastica,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,887.2,-1.34,True,True,8013.0,7341.1,1.092,True,1.0,0.087400278719561,-0.0666666666666666
tpc_h/q12 DEEP sf10 sel0.001 qid1,md5_prefix_hash_bucket,hyperloglog,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,941.7,4.72,True,True,8013.0,4708.5,1.702,True,1.0,-0.3282306902322935,-0.2
tpc_h/q12 DEEP sf10 sel0.001 qid1,pca1d,pca1d,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,876.3,-2.55,True,True,8013.0,7288.4,1.099,True,1.0,0.1131723227243443,-0.0666666666666666
tpc_h/q12 DEEP sf10 sel0.001 qid1,pca2d_equi_depth_grid,mhist2,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,876.5,-2.53,True,True,8013.0,4354.3,1.84,True,1.0,0.1533287609296893,-0.3333333333333333
tpc_h/q12 DEEP sf10 sel0.001 qid1,pca2d_hilbert_xy2d,hilbert_real,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,896.1,-0.35,True,True,8013.0,5121.0,1.565,True,1.0,0.0211233887550388,0.2
tpc_h/q12 DEEP sf10 sel0.001 qid1,pca2d_zorder_morton,zorder_morton,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,855.3,-4.89,True,True,8013.0,3130.5,2.56,True,1.0,0.3916480797834503,0.0666666666666666
tpc_h/q12 DEEP sf10 sel0.001 qid1,pca4_skilling_hilbert_approx,skilling_hilbert,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,879.1,-2.24,True,True,8013.0,6130.6,1.307,True,1.0,0.1203574440890326,-0.3333333333333333
tpc_h/q12 DEEP sf10 sel0.001 qid1,rabitq_1bit_bucket,rabitq_strat,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,891.2,-0.89,True,True,8013.0,6939.6,1.155,True,1.0,0.0522235696575565,-0.0666666666666666
tpc_h/q12 DEEP sf10 sel0.001 qid1,rsvd,rsvd,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,918.9,2.19,True,True,8013.0,7967.4,1.006,True,1.0,-0.1504968994043861,-0.3333333333333333
tpc_h/q12 DEEP sf10 sel0.001 qid1,sparse_rp,sparse_rp,Gather > Sort > NL > NL > Seq > IS > IOS,Gather > Sort > NL > NL > Seq > IS > IOS,same,899.2,913.5,1.58,True,True,8013.0,10499.0,1.31,True,1.0,-0.0768302574988347,0.2
