cell,method,selectivity,n_paired,mean_delta_pct_h2h,median_delta_pct_h2h,n_better,p_better,wilcoxon_p,significant_05,method_better
multi_join_deep_wiki,GMM,0.1,500,3.979974518132326,2.2703208480800496,200,0.4,4.815616171460742e-08,True,False
multi_join_deep_wiki,GMM,0.3,500,1.0399984372574889,0.1343842856223901,243,0.486,0.023083648294992598,True,False
multi_join_deep_wiki,GMM,0.5,500,0.36541726852355066,0.15747750326565707,238,0.476,0.139522024915232,False,False
multi_join_deep_wiki,Hilbert,all,2490,10.456853401614234,1.6477220477045247,1002,0.40240963855421685,1.7593186828453405e-43,True,False
multi_join_deep_wiki,Hilbert,0.01,490,41.837673450548635,22.143154720858277,122,0.24897959183673468,2.6367785437944903e-42,True,False
multi_join_deep_wiki,Hilbert,0.05,500,7.512585748409791,4.552590617026287,182,0.364,1.4920342371450293e-13,True,False
multi_join_deep_wiki,Hilbert,0.1,500,2.5298992417861075,1.539779308534293,210,0.42,0.00010843625028120172,True,False
multi_join_deep_wiki,Hilbert,0.3,500,0.8056612660468263,0.1738969639308801,242,0.484,0.08219905250731939,False,False
multi_join_deep_wiki,Hilbert,0.5,500,0.22606370225850578,0.1633996252236124,246,0.492,0.6079910811687439,False,False
multi_join_deep_wiki,faiss_ivf,all,2487,11.555979261046152,2.184776959585708,934,0.37555287494973866,1.425421946335356e-62,True,False
multi_join_deep_wiki,faiss_ivf,0.01,487,42.35981016739632,22.375244850924314,118,0.24229979466119098,1.0554588172384577e-44,True,False
multi_join_deep_wiki,faiss_ivf,0.05,500,10.186308551734708,5.968891781667855,157,0.314,2.579328286250875e-22,True,False
multi_join_deep_wiki,faiss_ivf,0.1,500,4.7594916346069525,2.839284912427318,190,0.38,7.3232480374855e-11,True,False
multi_join_deep_wiki,faiss_ivf,0.3,500,0.997144334980642,0.43760044429475464,232,0.464,0.018882418970543196,True,False
multi_join_deep_wiki,faiss_ivf,0.5,500,0.2780412200772472,0.14905476236569531,237,0.474,0.43179661933226965,False,False
multi_join_deep_wiki,MB_partial,all,2487,12.622025032292482,2.2251904682595844,951,0.3823884197828709,5.900889751639924e-61,True,False
multi_join_deep_wiki,MB_partial,0.01,487,47.619933767632,23.843412471172172,118,0.24229979466119098,2.823342419159698e-46,True,False
multi_join_deep_wiki,MB_partial,0.05,500,10.60043070641737,6.317854491855533,176,0.352,9.60344317680944e-21,True,False
multi_join_deep_wiki,MB_partial,0.1,500,4.837474996628131,2.8262542987820054,176,0.352,2.723019194687772e-13,True,False
multi_join_deep_wiki,MB_partial,0.3,500,0.7113987824802251,0.3373038394016751,237,0.474,0.1224918898981813,False,False
multi_join_deep_wiki,MB_partial,0.5,500,0.25083253542352385,0.15215006742672876,244,0.488,0.7287348330793941,False,False
multi_join_deep_wiki,Reservoir,all,2480,20.552714145798635,3.677375089132817,827,0.3334677419354839,6.429237311103863e-100,True,False
multi_join_deep_wiki,Reservoir,0.01,480,79.41152886743335,28.175905945454055,111,0.23125,2.6089942712223907e-48,True,False
multi_join_deep_wiki,Reservoir,0.05,500,14.800732719472252,9.480028210888486,149,0.298,1.0781624583026376e-30,True,False
multi_join_deep_wiki,Reservoir,0.1,500,6.735365597979388,3.4528786893404764,180,0.36,2.750415346966172e-15,True,False
multi_join_deep_wiki,Reservoir,0.3,500,2.879092134860557,2.055990834785529,189,0.378,1.046266829918453e-12,True,False
multi_join_deep_wiki,Reservoir,0.5,500,1.2912039981130397,1.030251371312938,198,0.396,1.3460147852021935e-08,True,False
multi_join_deep_wiki,sparse_rp,all,2489,10.41517476217938,2.3972822683225115,973,0.3909200482121334,4.87987416496607e-57,True,False
multi_join_deep_wiki,sparse_rp,0.01,489,38.13978035368095,20.606922137966656,119,0.24335378323108384,3.0562129311938327e-40,True,False
multi_join_deep_wiki,sparse_rp,0.05,500,8.281985110166667,5.260618814651474,182,0.364,1.7060347761550754e-16,True,False
multi_join_deep_wiki,sparse_rp,0.1,500,4.4980388223555074,3.230177843047513,193,0.386,2.67549791230166e-10,True,False
multi_join_deep_wiki,sparse_rp,0.3,500,1.1692962444600565,0.33853104023198977,240,0.48,0.007692823448934813,True,False
multi_join_deep_wiki,sparse_rp,0.5,500,0.5967146032467489,0.2768671441623798,239,0.478,0.01937409845101171,True,False
multi_join_deep_wiki,PCA1D,all,2487,10.657385088591486,1.8811421898223029,1007,0.4049055086449538,4.841460913182249e-50,True,False
multi_join_deep_wiki,PCA1D,0.01,487,40.15048428414825,19.139305935736566,127,0.26078028747433263,5.849357913370901e-40,True,False
multi_join_deep_wiki,PCA1D,0.05,500,9.02086489634651,5.212448690009419,183,0.366,2.69472482108053e-19,True,False
multi_join_deep_wiki,PCA1D,0.1,500,3.5079511658169014,1.5906038772166577,214,0.428,3.4374351912898667e-06,True,False
multi_join_deep_wiki,PCA1D,0.3,500,1.119352246725828,0.5246699268079359,236,0.472,0.006865151945210777,True,False
multi_join_deep_wiki,PCA1D,0.5,500,0.25509342900441856,0.09420574342697824,247,0.494,0.4405463247358954,False,False
multi_join_deep_wiki,LSH,all,2488,14.181960642941373,2.3011893120524265,954,0.3834405144694534,2.374155484745497e-59,True,False
multi_join_deep_wiki,LSH,0.01,488,54.568051123782205,25.184158225742067,120,0.2459016393442623,9.617068103280483e-42,True,False
multi_join_deep_wiki,LSH,0.05,500,10.470503154659077,5.139216277948337,170,0.34,5.07548102197712e-18,True,False
