cell,anchor,variant,n_pairs,median_diff_ms,anchor_med_ms,variant_med_ms,w_stat,p_value,p_holm,holm_rank,ci_lo_ms,ci_hi_ms,hedges_g,cliffs_delta
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:chao_weighted,15,-9.296873002313077,3841.689909924753,3869.496388011612,45.0,0.42120361328125,1.0,63,-144.45682467640532,7.491086111597998,-0.2715596470762737,-0.2
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:cum_sqrtf,15,2.615660079754889,3841.689909924753,3837.4894079752266,52.0,0.67877197265625,1.0,82,-13.346903997201784,13.80879946732117,0.013879615528397504,0.2
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:hilbert_real,15,0.628761132247746,3841.689909924753,3850.186020019464,52.0,0.67877197265625,1.0,81,-149.5146267187859,11.431165225803845,-0.23748229417329741,0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:hyperloglog,15,-17.862754059024155,3841.689909924753,3862.283777911216,30.0,0.0946044921875,1.0,20,-161.87557596014813,0.5856471175017329,-0.28596866738480686,-0.3333333333333333
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:ica_fastica,15,-4.256043117493391,3841.689909924753,3846.493743942119,51.0,0.638671875,1.0,78,-244.84063202437633,10.739175701940741,-0.3379196370936916,-0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:lavallee_hidiroglou,15,10.210118955001235,3841.689909924753,3847.6760890334845,49.0,0.5614013671875,1.0,75,-145.80363073929524,20.016843591195837,-0.19601615973437586,0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:mhist2,15,13.193230028264225,3841.689909924753,3842.2834270168096,51.0,0.638671875,1.0,79,-230.73568207929685,18.635490605180767,-0.3069142790898618,0.3333333333333333
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:pca1d,15,3.092656028456986,3841.689909924753,3853.4549239557236,37.0,0.207763671875,1.0,37,-2.615123620683638,38.53115435864311,0.3655758073601965,0.2
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:rabitq_strat,15,-0.23565406445413828,3841.689909924753,3844.5758130401373,57.0,0.890380859375,1.0,99,-16.13066035652688,13.22594678475675,-0.05047846868764888,-0.06666666666666667
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:rsvd,15,-13.857719022780657,3841.689909924753,3868.309359997511,35.0,0.1688232421875,1.0,30,-234.9447494793761,1.106916157683976,-0.3694234838847626,-0.3333333333333333
